Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	ABC transporters	7/45	0.0012777103867864	0.0204059101978861	0	0	4.796712309228355	31.958985853115696	ABCA10;ABCD3;ABCA5;ABCB4;ABCC5;ABCB8;ABCC10
KEGG_2019_Human	Vascular smooth muscle contraction	13/132	0.0013143134996306	0.0204059101978861	0	0	2.8558570969371355	18.947014851978395	PLA2G4B;CACNA1C;ADCY1;ADRA1A;ADCY6;MYL6;PLCB4;CALD1;KCNMA1;MAPK1;PPP1R12B;PLCB1;PRKACB
KEGG_2019_Human	Melanogenesis	11/101	0.0013445754781552	0.0204059101978861	0	0	3.1912655161973964	21.099616640009927	GNAO1;CAMK2B;TCF7L2;CAMK2D;PLCB4;CREB3L2;MAPK1;ADCY1;PLCB1;PRKACB;ADCY6
KEGG_2019_Human	Longevity regulating pathway	11/102	0.0014575596003935	0.0208916876056411	0	0	3.156031978920262	20.6120188119119	CREB3L2;AKT1;PRKAG2;IGF1;ADCY1;EIF4E2;PRKACB;ATG13;ADCY6;CREB5;CAMKK2
KEGG_2019_Human	Pathways in cancer	34/530	0.0015569592880383	0.0211418682270465	0	0	1.808578331291684	11.69249604945113	CAMK2B;CAMK2D;FLT4;LAMA4;PTGER3;XIAP;ADCY1;RASGRP2;ADCY6;BCL2L11;CASP8;MECOM;RASSF5;ABL1;AKT1;MAPK1;SKP2;PRKACB;IFNAR2;TCF7L2;IL15;ZBTB16;TXNRD1;HGF;PTCH1;IGF1;PML;ESR2;RUNX1;PLCB4;CXCL12;FAS;PLCB1;FGFR1
KEGG_2019_Human	Calcium signaling pathway	16/188	0.001844689658162	0.023796496590291	0	0	2.4350655565125847	15.329819389390243	CHRM2;CAMK2B;CAMK2D;CAMK1D;PDE1C;PDE1A;PTGER3;ATP2B4;CACNA1C;ADCY1;ADRA1A;PLCB4;ERBB3;PLCE1;PLCB1;PRKACB
KEGG_2019_Human	GnRH signaling pathway	10/93	0.0024122695745382	0.0296364547728989	0	0	3.14269322186706	18.941600493794976	CAMK2B;CAMK2D;PLCB4;PLA2G4B;MAPK1;ADCY1;CACNA1C;PLCB1;PRKACB;ADCY6
KEGG_2019_Human	Circadian entrainment	10/97	0.0032895601410555	0.0375480173773053	0	0	2.9975760419110173	17.13714648477813	GNAO1;CAMK2B;CAMK2D;PLCB4;MAPK1;CACNA1C;ADCY1;PLCB1;PRKACB;ADCY6
KEGG_2019_Human	Long-term potentiation	8/67	0.003347303874721	0.0375480173773053	0	0	3.5316790469838786	20.129158145870345	CAMK2B;CAMK2D;PLCB4;MAPK1;ADCY1;CACNA1C;PLCB1;PRKACB
KEGG_2019_Human	PI3K-Akt signaling pathway	24/354	0.0036505412069141	0.0392433179743269	0	0	1.9089648215861807	10.714790174782651	CHRM2;IFNAR2;FLT1;BDNF;ITGB4;HGF;FLT4;LAMA4;ITGA1;TNC;IGF1;BRCA1;PPP2R5C;OSMR;BCL2L11;ERBB3;CREB3L2;AKT1;COL6A3;MAPK1;SGK3;EIF4E2;FGFR1;CREB5
KEGG_2019_Human	Renin secretion	8/69	0.0040219123633188	0.0415061355894501	0	0	3.415530395711458	18.840058070696795	PLCB4;PDE1C;PDE1A;KCNMA1;CACNA1C;PLCB1;PRKACB;ADCY6
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	9/85	0.0043367967369834	0.0430343676208356	0	0	3.0858659897025174	16.78902200654061	CACNB2;ITGB4;ITGA1;CACNA2D3;PRKAG2;DMD;CACNA1C;IGF1;TTN
KEGG_2019_Human	Estrogen signaling pathway	12/137	0.0052036476320296	0.0461267377631043	0	0	2.5054297407912687	13.17454030319718	GNAO1;GABBR1;PLCB4;CREB3L2;AKT1;MAPK1;ADCY1;PLCB1;PRKACB;ESR2;ADCY6;CREB5
KEGG_2019_Human	Adherens junction	8/72	0.005224691990011	0.0461267377631043	0	0	3.254918588873813	17.10251218832628	TCF7L2;YES1;CSNK2A3;PARD3;MAPK1;PTPRJ;SORBS1;FGFR1
KEGG_2019_Human	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	8/72	0.005224691990011	0.0461267377631043	0	0	3.254918588873813	17.10251218832628	DSP;CACNB2;TCF7L2;ITGB4;ITGA1;CACNA2D3;DMD;CACNA1C
KEGG_2019_Human	Cushing syndrome	13/155	0.0053635741585005	0.0461267377631043	0	0	2.3904121450011546	12.497372791631076	CAMK2B;SCARB1;TCF7L2;CAMK2D;CACNA1C;ADCY1;ADCY6;PLCB4;CREB3L2;MAPK1;PLCB1;PRKACB;CREB5
KEGG_2019_Human	Focal adhesion	15/199	0.0077495037404792	0.0644958698401173	0	0	2.129727516378797	10.350745078696944	FLT1;ITGB4;HGF;FLT4;LAMA4;PXN;ITGA1;TNC;XIAP;IGF1;ARHGAP5;AKT1;COL6A3;MAPK1;PPP1R12B
KEGG_2019_Human	Proteoglycans in cancer	15/201	0.0084618937688775	0.0682240185115755	0	0	2.1066062748563854	10.053109137208397	CAMK2B;DDX5;CAMK2D;HGF;PTCH1;PXN;IGF1;ERBB3;AKT1;PLCE1;FAS;MAPK1;PPP1R12B;PRKACB;FGFR1
KEGG_2019_Human	cGMP-PKG signaling pathway	13/166	0.009369032667544	0.0690823812473322	0	0	2.217275616986321	10.35544303430954	ATP2B4;NFATC1;CACNA1C;ADCY1;ADRA1A;ADCY6;PLCB4;CREB3L2;KCNMA1;AKT1;MAPK1;PLCB1;CREB5
KEGG_2019_Human	Ovarian steroidogenesis	6/49	0.0093693161977843	0.0690823812473322	0	0	3.627529345123832	16.941705305554898	SCARB1;PLA2G4B;ADCY1;IGF1;PRKACB;ADCY6
KEGG_2019_Human	Relaxin signaling pathway	11/130	0.0093716408668861	0.0690823812473322	0	0	2.409910013051542	11.25444141497982	GNAO1;PLCB4;CREB3L2;AKT1;MAPK1;ARRB1;ADCY1;PLCB1;PRKACB;ADCY6;CREB5
KEGG_2019_Human	Dopaminergic synapse	11/131	0.0098979712199383	0.0697732434949526	0	0	2.389702543142598	11.029493983633287	GNAO1;CAMK2B;CAMK2D;PLCB4;CREB3L2;AKT1;CACNA1C;PPP2R5C;PLCB1;PRKACB;CREB5
KEGG_2019_Human	Transcriptional misregulation in cancer	14/186	0.0100062403461753	0.0697732434949526	0	0	2.124852861642223	9.78398347986062	SS18;DDX5;FLT1;ZBTB16;JMJD1C;IGF1;PML;RUNX1;ELK4;MAF;NR4A3;NCOR1;EWSR1;BMP2K
KEGG_2019_Human	Human cytomegalovirus infection	16/225	0.010372126828068	0.0704212821484622	0	0	2.0000918870314583	9.137686165046226	PTGER3;PXN;NFATC1;ADCY1;ADCY6;GNAO1;PLCB4;CXCL12;CASP8;CREB3L2;AKT1;FAS;MAPK1;PLCB1;PRKACB;CREB5
KEGG_2019_Human	Ras signaling pathway	16/232	0.0135905869621007	0.086852769616034	0	0	1.9345628207082253	8.315481999276686	FLT1;BDNF;HGF;FLT4;PLA2G4B;IGF1;RASGRP2;RASSF5;ABL1;NF1;AKT1;PLCE1;ABL2;MAPK1;PRKACB;FGFR1
KEGG_2019_Human	ErbB signaling pathway	8/85	0.0138228139918222	0.086852769616034	0	0	2.703554247651941	11.575091412657018	CAMK2B;CAMK2D;ERBB3;ABL1;AKT1;ABL2;MAPK1;NRG2
KEGG_2019_Human	Regulation of actin cytoskeleton	15/214	0.0144486727329104	0.086852769616034	0	0	1.9676464514352583	8.33721851573598	CHRM2;GSN;ITGB4;PXN;ITGA1;SSH2;SSH1;ENAH;DIAPH2;PIKFYVE;CXCL12;ABI2;MAPK1;PPP1R12B;FGFR1
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	9/103	0.0147107552613247	0.086852769616034	0	0	2.4926138991674374	10.516777743394504	GNAO1;CASP8;PLCB4;AKT1;MAPK1;FAS;ADCY1;CFLAR;PLCB1
KEGG_2019_Human	Glucagon signaling pathway	9/103	0.0147107552613247	0.086852769616034	0	0	2.4926138991674374	10.516777743394504	CAMK2B;CAMK2D;PLCB4;CREB3L2;AKT1;PRKAG2;PLCB1;PRKACB;CREB5
KEGG_2019_Human	Fanconi anemia pathway	6/54	0.0148121002445949	0.086852769616034	0	0	3.2488159675236807	13.685022743667732	POLN;SLX1B;FANCA;SLX1A;BRCA1;FAN1
KEGG_2019_Human	Pyrimidine metabolism	6/57	0.0189638867341324	0.1064049532569293	0	0	3.057231552973016	12.122592050096332	CANT1;DPYD;UPP1;NME1;TYMP;AK9
KEGG_2019_Human	Salivary secretion	8/90	0.0189714257744912	0.1064049532569293	0	0	2.538041499817983	10.062881096284125	PLCB4;KCNMA1;ATP2B4;ADCY1;PLCB1;ADRA1A;PRKACB;ADCY6
KEGG_2019_Human	Thyroid hormone synthesis	7/74	0.0201303087599238	0.1105025459587311	0	0	2.716417910447761	10.609048113573827	PLCB4;CREB3L2;ADCY1;PLCB1;PRKACB;ADCY6;CREB5
KEGG_2019_Human	Gastric acid secretion	7/75	0.0215144367276921	0.1156400974113454	0	0	2.6763311015463094	10.27451831528614	CAMK2B;CAMK2D;PLCB4;ADCY1;PLCB1;PRKACB;ADCY6
KEGG_2019_Human	Human papillomavirus infection	20/330	0.023054915857384	0.1213911896164303	0	0	1.68587319243604	6.355533330554418	IFNAR2;TCF7L2;ITGB4;LAMA4;PXN;ITGA1;TNC;PPP2R5C;RBPJ;CASP8;NFX1;PARD3;CREB3L2;AKT1;FAS;COL6A3;MAPK1;PRKACB;LLGL2;CREB5
KEGG_2019_Human	Long-term depression	6/60	0.0238462266133798	0.1230465293250397	0	0	2.8869342955946475	10.785959772687017	GNAO1;PLCB4;PLA2G4B;MAPK1;IGF1;PLCB1
KEGG_2019_Human	Chemokine signaling pathway	13/190	0.0259315701331595	0.131183237144219	0	0	1.9142199993825448	6.991294464404497	PXN;ARRB1;ADCY1;RASGRP2;ADCY6;CXCL12;PLCB4;GRK4;PARD3;AKT1;MAPK1;PLCB1;PRKACB
KEGG_2019_Human	Glutamatergic synapse	9/114	0.0266306379374323	0.1321289343818757	0	0	2.2302018633540373	8.0860271147211	GNAO1;PLCB4;PLA2G4B;MAPK1;CACNA1C;ADCY1;PLCB1;PRKACB;ADCY6
KEGG_2019_Human	Thyroid hormone signaling pathway	9/116	0.0293694211334129	0.1429681255173686	0	0	2.1882872815928485	7.719842592957345	RCAN1;MED14;NCOR1;PLCB4;AKT1;PLCE1;MAPK1;PLCB1;PRKACB
KEGG_2019_Human	Ubiquitin mediated proteolysis	10/137	0.0323590640920456	0.151950814726259	0	0	2.049172424875462	7.030425978066532	HERC4;HERC2;XIAP;WWP2;UBE3B;BRCA1;SKP2;MID1;PIAS2;PML
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	5/48	0.0323926155424195	0.151950814726259	0	0	3.018856065367693	10.354147393135513	PLCB4;PLCB1;PRKACB;ADCY6;DNM1
KEGG_2019_Human	Neurotrophin signaling pathway	9/119	0.0338377961629941	0.1558955608937945	0	0	2.128273221343873	7.206709558500408	CAMK2B;CAMK2D;BDNF;RIPK2;KIDINS220;ABL1;AKT1;MAPK1;SH2B1
KEGG_2019_Human	NOD-like receptor signaling pathway	12/178	0.0347608291865425	0.1573384900022451	0	0	1.8825753217508503	6.324067739557657	IFNAR2;CASP8;PLCB4;RIPK2;OAS2;CARD8;XIAP;MAPK1;BRCC3;NLRP1;PLCB1;ANTXR1
KEGG_2019_Human	AMPK signaling pathway	9/120	0.0354260193339818	0.1573418773576504	0	0	2.108989424206816	7.044675762789954	STRADA;CREB3L2;AKT1;PRKAG2;IGF1;PPP2R5C;ADRA1A;CREB5;CAMKK2
KEGG_2019_Human	Acute myeloid leukemia	6/66	0.0359812820314006	0.1573418773576504	0	0	2.5974289580514207	8.635818601998112	TCF7L2;ZBTB16;AKT1;MAPK1;PML;RUNX1
KEGG_2019_Human	One carbon pool by folate	3/20	0.0366000443469134	0.1573801906917278	0	0	4.575392421119391	15.134052171742177	MTHFD1L;MTHFS;GART
KEGG_2019_Human	Axon guidance	12/181	0.0387412116747739	0.1638562723293717	0	0	1.8488662140671797	6.010389217605809	ENAH;CAMK2B;CAMK2D;RGS3;CXCL12;PARD3;PTCH1;ABL1;MAPK1;SSH2;PLXNA4;SSH1
KEGG_2019_Human	Amphetamine addiction	6/68	0.0407676125919223	0.1696458717534833	0	0	2.513379021345323	8.042479397767789	CAMK2B;CAMK2D;CREB3L2;CACNA1C;PRKACB;CREB5
KEGG_2019_Human	Platelet activation	9/124	0.042289253856324	0.1731845634116128	0	0	2.0352079395085068	6.437815080684439	PLCB4;PLA2G4B;AKT1;MAPK1;ADCY1;RASGRP2;PLCB1;PRKACB;ADCY6
KEGG_2019_Human	Oocyte meiosis	9/125	0.0441354634453402	0.177921087014028	0	0	2.0175576274362816	6.295771749851697	CAMK2B;CAMK2D;PTTG2;MAPK1;IGF1;PPP2R5C;ADCY1;PRKACB;ADCY6
KEGG_2019_Human	Herpes simplex virus 1 infection	26/492	0.0473542290848514	0.1855770620067806	0	0	1.4580157228387065	4.447092513890812	ZNF177;ZNF133;ZNF331;SP100;ZNF44;ZNF23;CASP8;ZNF529;ZSCAN32;ZNF41;AKT1;ZNF568;ZNF226;ZNF721;ZNF268;ZNF641;ZNF442;ZNF662;ZNF585A;IFNAR2;ZNF680;PML;ZNF419;OAS2;ZNF559;FAS
KEGG_2019_Human	African trypanosomiasis	4/37	0.0477445501304761	0.1855770620067806	0	0	3.14431767063346	9.564669585804427	PLCB4;LAMA4;FAS;PLCB1
KEGG_2019_Human	GABAergic synapse	7/89	0.048192492846722	0.1855770620067806	0	0	2.217777116795558	6.725524475722906	GNAO1;GABBR1;ADCY1;CACNA1C;GABRE;PRKACB;ADCY6
KEGG_2019_Human	Phospholipase D signaling pathway	10/148	0.0503575632626348	0.1910625194376438	0	0	1.8847481021394064	5.632770348517137	PLCB4;PLA2G4B;AKT1;MAPK1;ADCY1;PLCB1;DGKZ;DNM1;ADCY6;RAPGEF4
KEGG_2019_Human	TNF signaling pathway	8/110	0.0531454431525495	0.1968209377963309	0	0	2.0382579083193657	5.981722187117546	CASP8;IL15;CREB3L2;AKT1;MAPK1;FAS;CFLAR;CREB5
KEGG_2019_Human	Regulation of lipolysis in adipocytes	5/55	0.0534010296346634	0.1968209377963309	0	0	2.5952702702702704	7.60394789973143	PTGER3;AKT1;ADCY1;PRKACB;ADCY6
KEGG_2019_Human	Glioma	6/75	0.0605762139249152	0.2201220167975795	0	0	2.2575748661528503	6.329907998988208	CAMK2B;CAMK2D;CAMK1D;AKT1;MAPK1;IGF1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	13/219	0.0668359318265802	0.2394954223785791	0	0	1.642242294020903	4.443110242851972	IL15;XIAP;NFATC1;ADCY1;ADCY6;ELK4;PTTG2;CREB3L2;AKT1;MAPK1;BUB3;PRKACB;CREB5
KEGG_2019_Human	Viral myocarditis	5/59	0.0682586155606202	0.24124277828274	0	0	2.4025275275275275	6.449468907512426	CASP8;CXADR;ABL1;ABL2;DMD
KEGG_2019_Human	Prostate cancer	7/97	0.0701150922444008	0.2427005035460631	0	0	2.0197982535380907	5.367850603751307	TCF7L2;CREB3L2;AKT1;MAPK1;IGF1;FGFR1;CREB5
KEGG_2019_Human	Apelin signaling pathway	9/137	0.0705524719610648	0.2427005035460631	0	0	1.8272652004076089	4.844808326342326	PLCB4;AKT1;PRKAG2;MAPK1;NRF1;ADCY1;PLCB1;PRKACB;ADCY6
KEGG_2019_Human	Pancreatic secretion	7/98	0.0732127904425668	0.2485381570287137	0	0	1.9974984365228268	5.222230230531211	PLCB4;AMY2B;KCNMA1;ATP2B4;ADCY1;PLCB1;ADCY6
KEGG_2019_Human	HIF-1 signaling pathway	7/100	0.0796470780317697	0.2657648944207872	0	0	1.954337500364251	4.944766886614453	CAMK2B;CAMK2D;FLT1;AKT1;MAPK1;IGF1;EIF4E2
KEGG_2019_Human	Vasopressin-regulated water reabsorption	4/44	0.080347526220238	0.2657648944207872	0	0	2.5931174089068825	6.538270610829164	CREB3L2;PRKACB;ADCY6;CREB5
KEGG_2019_Human	Non-homologous end-joining	2/13	0.0823943160213202	0.2690852346012737	0	0	4.709164321546556	11.755198811664997	LIG4;POLL
KEGG_2019_Human	Taste transduction	6/83	0.0891288529095497	0.2874405506332978	0	0	2.022178092543451	4.888963698704102	GABBR1;PDE1C;PDE1A;CACNA1C;PRKACB;ADCY6
KEGG_2019_Human	Hedgehog signaling pathway	4/47	0.0969678382055582	0.3088605216917781	0	0	2.4118256284718957	5.6276958455585975	PTCH1;SPOP;ARRB1;PRKACB
KEGG_2019_Human	Retrograde endocannabinoid signaling	9/148	0.101912544497311	0.3206516643939787	0	0	1.681693775414451	3.8403835775170334	GNAO1;PLCB4;MAPK1;CACNA1C;ADCY1;PLCB1;GABRE;PRKACB;ADCY6
KEGG_2019_Human	Autophagy	8/128	0.1055851932842846	0.3282045767150053	0	0	1.730890999547716	3.8914534177562663	VMP1;RRAGB;AKT1;MAPK1;CFLAR;PRKACB;ATG13;CAMKK2
KEGG_2019_Human	Cocaine addiction	4/49	0.1088676010234208	0.3342336480029527	0	0	2.304393462288199	5.110275492676547	BDNF;CREB3L2;PRKACB;CREB5
KEGG_2019_Human	Gap junction	6/88	0.1101157367451588	0.3342336480029527	0	0	1.8983794844714348	4.188249077621949	PLCB4;MAPK1;ADCY1;PLCB1;PRKACB;ADCY6
KEGG_2019_Human	Leukocyte transendothelial migration	7/112	0.1248138771334349	0.3686923251069107	0	0	1.7299006323396566	3.599804949943056	CXCL12;RASSF5;NCF4;PXN;ARHGAP5;SIPA1;RAPGEF4
KEGG_2019_Human	Serotonergic synapse	7/113	0.129067856448565	0.3686923251069107	0	0	1.7134913330265378	3.5082312742054302	GNAO1;PLCB4;PLA2G4B;MAPK1;CACNA1C;PLCB1;PRKACB
KEGG_2019_Human	Bile secretion	5/72	0.130330093170427	0.3686923251069107	0	0	1.9350544574425173	3.94303118776801	SCARB1;ABCB4;ADCY1;PRKACB;ADCY6
KEGG_2019_Human	Melanoma	5/72	0.130330093170427	0.3686923251069107	0	0	1.9350544574425173	3.94303118776801	HGF;AKT1;MAPK1;IGF1;FGFR1
KEGG_2019_Human	p53 signaling pathway	5/72	0.130330093170427	0.3686923251069107	0	0	1.9350544574425173	3.94303118776801	CASP8;GORAB;FAS;MDM4;IGF1
KEGG_2019_Human	Selenocompound metabolism	2/17	0.1304821375770111	0.3686923251069107	0	0	3.452669358456707	7.031426536504172	TXNRD1;PSTK
KEGG_2019_Human	Viral carcinogenesis	11/201	0.1314716818210689	0.3686923251069107	0	0	1.503764520292557	3.0510837722749287	GTF2A1L;SP100;GSN;CASP8;CREB3L2;PXN;MAPK1;RBPJ;SKP2;PRKACB;CREB5
KEGG_2019_Human	Wnt signaling pathway	9/158	0.1363089445129835	0.3781473944553737	0	0	1.5680077327108255	3.1247749177305737	CAMK2B;TCF7L2;PORCN;CAMK2D;PLCB4;CSNK2A3;NFATC1;PLCB1;PRKACB
KEGG_2019_Human	Insulin signaling pathway	8/137	0.139707109554382	0.3815339676224273	0	0	1.6093738495682266	3.167581073371898	PRKAR1A;EXOC7;AKT1;PRKAG2;MAPK1;SORBS1;EIF4E2;PRKACB
KEGG_2019_Human	Prion diseases	3/35	0.1404873136594209	0.3815339676224273	0	0	2.428782008086253	4.766820077792139	MAPK1;NCAM1;PRKACB
KEGG_2019_Human	Chronic myeloid leukemia	5/76	0.1532702261061817	0.4119137326603633	0	0	1.825656642558051	3.4241153032010656	MECOM;ABL1;AKT1;MAPK1;RUNX1
KEGG_2019_Human	Phosphatidylinositol signaling system	6/99	0.1640980422611404	0.4304153157804504	0	0	1.6728796542843425	3.023380696440926	PIKFYVE;PLCB4;PLCE1;PLCB1;DGKZ;IP6K2
KEGG_2019_Human	Progesterone-mediated oocyte maturation	6/99	0.1640980422611404	0.4304153157804504	0	0	1.6728796542843425	3.023380696440926	AKT1;MAPK1;IGF1;ADCY1;PRKACB;ADCY6
KEGG_2019_Human	Apoptosis	8/143	0.1651593653576147	0.4304153157804504	0	0	1.537363686617418	2.7685528174210923	BCL2L11;CASP8;AKT1;XIAP;MAPK1;FAS;CFLAR;SPTAN1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	6/100	0.1694885304308147	0.437280408511502	0	0	1.654996689027726	2.937569508748987	PLCB4;AKT1;PLCE1;MAPK1;NFATC1;PLCB1
KEGG_2019_Human	VEGF signaling pathway	4/59	0.1769114548581354	0.4519124292415737	0	0	1.8844313581155687	3.2640347236937477	PLA2G4B;PXN;AKT1;MAPK1
KEGG_2019_Human	Cell cycle	7/124	0.1803692051279804	0.4562279894413623	0	0	1.5515020962175434	2.6573342676496394	STAG2;TFDP1;PTTG2;ABL1;BUB3;SKP2;CDC14A
KEGG_2019_Human	Breast cancer	8/147	0.1832295789492043	0.4575484790926122	0	0	1.4928106361586444	2.533322612912801	TCF7L2;FLT4;AKT1;MAPK1;IGF1;BRCA1;ESR2;FGFR1
KEGG_2019_Human	Tight junction	9/170	0.1844381466109755	0.4575484790926122	0	0	1.4502261679719146	2.451521948264756	EPB41L4B;MYL6;PARD3;PRKAG2;ARHGEF2;PRKACB;CGNL1;RUNX1;LLGL2
KEGG_2019_Human	ECM-receptor interaction	5/82	0.1905076610897699	0.4681045386777204	0	0	1.6828711828711829	2.790306222520201	ITGB4;LAMA4;ITGA1;TNC;COL6A3
KEGG_2019_Human	Vitamin B6 metabolism	1/6	0.2037145437805571	0.4958335122206014	0	0	5.174731182795699	8.233181326609241	PHOSPHO2
KEGG_2019_Human	Drug metabolism	6/108	0.2150753313788466	0.5178620984020473	0	0	1.5245562365676988	2.3428876129483958	IMPDH1;DPYD;UPP1;FMO5;NME1;TYMP
KEGG_2019_Human	Hepatitis C	8/155	0.2217314696301958	0.5178620984020473	0	0	1.4109785026629376	2.125340305026209	IFNAR2;SCARB1;CASP8;OAS2;AKT1;MAPK1;FAS;CFLAR
KEGG_2019_Human	FoxO signaling pathway	7/132	0.2222445706683287	0.5178620984020473	0	0	1.4515989159891598	2.1831711416537853	BCL2L11;AKT1;PRKAG2;MAPK1;SGK3;IGF1;SKP2
KEGG_2019_Human	Central carbon metabolism in cancer	4/65	0.2231559398979045	0.5178620984020473	0	0	1.6985464923342404	2.547623505174409	SCO2;AKT1;MAPK1;FGFR1
KEGG_2019_Human	Shigellosis	4/65	0.2231559398979045	0.5178620984020473	0	0	1.6985464923342404	2.547623505174409	RIPK2;ABL1;MAPK1;U2AF1L4
KEGG_2019_Human	Carbohydrate digestion and absorption	3/44	0.2248083527946872	0.5178620984020473	0	0	1.8947472224048385	2.827923502319522	AMY2B;AKT1;SLC37A4
KEGG_2019_Human	alpha-Linolenic acid metabolism	2/25	0.2384136886135335	0.5443427580733775	0	0	2.2508046111533737	3.2270864447794017	FADS2;PLA2G4B
KEGG_2019_Human	Toxoplasmosis	6/113	0.245478341010672	0.5555562454452051	0	0	1.4529358946795998	2.0407161122331963	GNAO1;CASP8;LAMA4;AKT1;XIAP;MAPK1
